date,home_team,away_team,home_team_score,away_team_score,winner
2004-06-17,England,Switzerland,3,0,England
2004-06-20,Portugal,Spain,1,0,Portugal
2004-06-21,Croatia,England,2,4,England
2004-06-21,Switzerland,France,1,3,France
2004-06-30,Portugal,Netherlands,2,1,Portugal
2004-08-18,Japan,Argentina,1,2,Argentina
2004-09-08,Poland,England,1,2,England
2005-05-28,USA,England,1,2,England
2005-06-08,Argentina,Brazil,3,1,Argentina
2005-06-18,Australia,Argentina,2,4,Argentina
2005-06-29,Brazil,Argentina,4,1,Brazil
2005-10-12,England,Poland,2,1,England
2005-11-12,England,Argentina,3,2,England
2005-11-12,Portugal,Croatia,2,0,Portugal
2006-03-01,Argentina,Croatia,2,3,Croatia
2006-05-23,USA,Morocco,0,1,Morocco
2006-06-13,Brazil,Croatia,1,0,Brazil
2006-06-18,Brazil,Australia,2,0,Brazil
2006-06-22,Japan,Brazil,1,4,Brazil
2006-06-25,Portugal,Netherlands,1,0,Portugal
2006-06-27,Spain,France,1,3,France
2006-07-01,Brazil,France,0,1,France
2006-07-05,Portugal,France,0,1,France
2006-09-03,Argentina,Brazil,0,3,Brazil
2006-10-11,Croatia,England,2,0,Croatia
2006-11-15,Switzerland,Brazil,1,2,Brazil
2007-02-06,Portugal,Brazil,2,0,Portugal
2007-02-07,France,Argentina,0,1,Argentina
2007-06-02,Korea Republic,Netherlands,0,2,Netherlands
2007-06-28,Argentina,USA,4,1,Argentina
2007-07-15,Brazil,Argentina,3,0,Brazil
2007-09-09,USA,Brazil,2,4,Brazil
2007-09-11,Australia,Argentina,0,1,Argentina
2007-11-21,England,Croatia,2,3,Croatia
2007-11-21,Morocco,Senegal,3,0,Morocco
2008-02-06,Croatia,Netherlands,0,3,Netherlands
2008-02-06,England,Switzerland,2,1,England
2008-03-26,France,England,1,0,France
2008-05-28,England,USA,2,0,England
2008-06-13,Netherlands,France,4,1,Netherlands
2008-06-16,Poland,Croatia,0,1,Croatia
2008-09-10,Croatia,England,1,4,England
2008-11-19,Brazil,Portugal,6,2,Brazil
2009-02-11,France,Argentina,0,2,Argentina
2009-06-18,USA,Brazil,0,3,Brazil
2009-06-28,USA,Brazil,2,3,Brazil
2009-09-05,Argentina,Brazil,1,3,Brazil
2009-09-05,Netherlands,Japan,3,0,Netherlands
2009-09-09,England,Croatia,5,1,England
2009-11-14,Brazil,England,1,0,Brazil
2010-03-03,Netherlands,USA,2,1,Netherlands
2010-05-30,Japan,England,1,2,England
2010-06-17,Argentina,Korea Republic,4,1,Argentina
2010-06-19,Netherlands,Japan,1,0,Netherlands
2010-07-02,Netherlands,Brazil,2,1,Netherlands
2010-08-10,USA,Brazil,0,2,Brazil
2010-09-07,Argentina,Spain,4,1,Argentina
2010-09-07,Switzerland,England,1,3,England
2010-11-17,Argentina,Brazil,1,0,Argentina
2010-11-17,England,France,1,2,France
2010-11-17,Portugal,Spain,4,0,Portugal
2011-02-09,Argentina,Portugal,2,1,Argentina
2011-02-09,France,Brazil,1,0,France
2011-06-09,Poland,France,0,1,France
2011-08-10,Senegal,Morocco,0,2,Morocco
2011-09-28,Brazil,Argentina,2,0,Brazil
2011-11-11,France,USA,1,0,France
2011-11-12,England,Spain,1,0,England
2012-02-29,England,Netherlands,2,3,Netherlands
2012-02-29,Switzerland,Argentina,1,3,Argentina
2012-05-30,USA,Brazil,1,4,Brazil
2012-06-09,Brazil,Argentina,3,4,Argentina
2012-06-17,Portugal,Netherlands,2,1,Portugal
2012-09-19,Brazil,Argentina,2,1,Brazil
2012-10-16,Japan,Brazil,0,4,Brazil
2012-11-21,Argentina,Brazil,2,1,Argentina
2013-02-06,Croatia,Korea Republic,4,0,Croatia
2013-02-06,England,Brazil,2,1,England
2013-06-09,Brazil,France,3,0,Brazil
2013-06-10,Croatia,Portugal,0,1,Portugal
2013-06-15,Brazil,Japan,3,0,Brazil
2013-06-30,Brazil,Spain,3,0,Brazil
2013-09-07,Brazil,Australia,6,0,Brazil
2013-09-10,Brazil,Portugal,3,1,Brazil
2013-09-10,Korea Republic,Croatia,1,2,Croatia
2013-10-11,France,Australia,6,0,France
2013-10-12,Korea Republic,Brazil,0,2,Brazil
2013-10-15,England,Poland,2,0,England
2014-03-05,France,Netherlands,2,0,France
2014-06-06,Croatia,Australia,1,0,Croatia
2014-06-12,Brazil,Croatia,3,1,Brazil
2014-06-13,Spain,Netherlands,1,5,Netherlands
2014-06-18,Australia,Netherlands,2,3,Netherlands
2014-06-20,Switzerland,France,2,5,France
2014-07-01,Argentina,Switzerland,1,0,Argentina
2014-07-12,Brazil,Netherlands,0,3,Netherlands
2014-09-04,France,Spain,1,0,France
2014-09-08,Switzerland,England,0,2,England
2014-10-11,Argentina,Brazil,0,2,Brazil
2014-10-11,France,Portugal,2,1,France
2014-10-14,Japan,Brazil,0,4,Brazil
2014-11-12,Argentina,Croatia,2,1,Argentina
2014-11-18,Portugal,Argentina,1,0,Portugal
2015-03-26,France,Brazil,1,3,Brazil
2015-03-31,Netherlands,Spain,2,0,Netherlands
2015-09-04,Portugal,France,0,1,France
2015-09-08,England,Switzerland,2,0,England
2015-11-17,England,France,2,0,England
2016-03-25,Netherlands,France,2,3,France
2016-03-29,England,Netherlands,1,2,Netherlands
2016-05-27,England,Australia,2,1,England
2016-06-01,Poland,Netherlands,1,2,Netherlands
2016-06-02,England,Portugal,1,0,England
2016-06-21,Croatia,Spain,2,1,Croatia
2016-06-21,USA,Argentina,0,4,Argentina
2016-06-25,Croatia,Portugal,0,1,Portugal
2016-07-10,France,Portugal,0,1,Portugal
2016-10-10,Netherlands,France,0,1,France
2016-11-10,Brazil,Argentina,3,0,Brazil
2017-05-31,Morocco,Netherlands,1,2,Netherlands
2017-06-09,Argentina,Brazil,1,0,Argentina
2017-06-13,Australia,Brazil,0,4,Brazil
2017-06-13,France,England,3,2,France
2017-08-31,France,Netherlands,4,0,France
2017-10-10,Korea Republic,Morocco,1,3,Morocco
2017-10-10,Portugal,Switzerland,2,0,Portugal
2017-11-10,Japan,Brazil,1,3,Brazil
2018-03-23,Netherlands,England,0,1,England
2018-03-26,Portugal,Netherlands,0,3,Netherlands
2018-06-03,Croatia,Brazil,0,2,Brazil
2018-06-08,Croatia,Senegal,2,1,Croatia
2018-06-16,France,Australia,2,1,France
2018-06-20,Portugal,Morocco,1,0,Portugal
2018-06-21,Argentina,Croatia,0,3,Croatia
2018-06-30,France,Argentina,4,3,France
2018-07-11,Croatia,England,2,1,Croatia
2018-07-15,France,Croatia,4,2,France
2018-09-07,USA,Brazil,0,2,Brazil
2018-09-09,France,Netherlands,2,1,France
2018-09-11,England,Switzerland,1,0,England
2018-10-11,Poland,Portugal,2,3,Portugal
2018-10-15,Spain,England,2,3,England
2018-10-16,Argentina,Brazil,0,1,Brazil
2018-11-15,Croatia,Spain,3,2,Croatia
2018-11-15,England,USA,3,0,England
2018-11-16,Netherlands,France,2,0,Netherlands
2018-11-18,England,Croatia,2,1,England
2019-03-26,Morocco,Argentina,0,1,Argentina
2019-06-05,Portugal,Switzerland,3,1,Portugal
2019-06-06,England,Netherlands,1,3,Netherlands
2019-06-09,Portugal,Netherlands,1,0,Portugal
2019-07-02,Brazil,Argentina,2,0,Brazil
2019-11-15,Brazil,Argentina,0,1,Argentina
2019-11-19,Brazil,Korea Republic,3,0,Brazil
2020-09-04,Netherlands,Poland,1,0,Netherlands
2020-09-05,Portugal,Croatia,4,1,Portugal
2020-09-08,France,Croatia,4,2,France
2020-10-07,Switzerland,Croatia,1,2,Croatia
2020-10-09,Morocco,Senegal,3,1,Morocco
2020-10-14,Croatia,France,1,2,France
2020-11-14,Portugal,France,0,1,France
2020-11-17,Croatia,Portugal,2,3,Portugal
2020-11-18,Poland,Netherlands,1,2,Netherlands
2021-03-31,England,Poland,2,1,England
2021-06-13,England,Croatia,1,0,England
2021-07-10,Brazil,Argentina,0,1,Argentina
2021-10-10,Spain,France,1,2,France
2022-03-26,England,Switzerland,2,1,England
2022-06-02,Korea Republic,Brazil,1,5,Brazil
2022-06-05,Portugal,Switzerland,4,0,Portugal
2022-06-06,Japan,Brazil,0,1,Brazil
2022-06-13,France,Croatia,0,1,Croatia
