teams,percent_winners,percent_winners_8,percent_winners_4,percent_winners_2,percent_winners_final
France,1.246294059514659,12.149532710280374,17.80821917808219,42.97520661157025,59.09090909090909
Argentina,1.1639398265070826,8.411214953271028,12.32876712328767,29.75206611570248,40.909090909090914
